Body
Date,Weight,BMI,Fat
"2022-05-01","65.77","20.8","0"
"2022-05-02","65.77","20.8","0"
"2022-05-03","65.77","20.8","0"
"2022-05-04","65.77","20.8","0"
"2022-05-05","65.77","20.8","0"
"2022-05-06","65.77","20.8","0"
"2022-05-07","65.77","20.8","0"
"2022-05-08","65.77","20.8","0"
"2022-05-09","65.77","20.8","0"
"2022-05-10","65.77","20.8","0"
"2022-05-11","65.77","20.8","0"
"2022-05-12","65.77","20.8","0"
"2022-05-13","65.77","20.8","0"
"2022-05-14","65.77","20.8","0"
"2022-05-15","65.77","20.8","0"
"2022-05-16","65.77","20.8","0"
"2022-05-17","65.77","20.8","0"
"2022-05-18","65.77","20.8","0"
"2022-05-19","65.77","20.8","0"
"2022-05-20","65.77","20.8","0"
"2022-05-21","65.77","20.8","0"
"2022-05-22","65.77","20.8","0"
"2022-05-23","65.77","20.8","0"
"2022-05-24","65.77","20.8","0"
"2022-05-25","65.77","20.8","0"
"2022-05-26","65.77","20.8","0"
"2022-05-27","65.77","20.8","0"
"2022-05-28","65.77","20.8","0"
"2022-05-29","65.77","20.8","0"
"2022-05-30","65.77","20.8","0"
"2022-05-31","65.77","20.8","0"

Foods
Date,Calories In
"2022-05-01","0"
"2022-05-02","0"
"2022-05-03","0"
"2022-05-04","0"
"2022-05-05","0"
"2022-05-06","0"
"2022-05-07","0"
"2022-05-08","0"
"2022-05-09","0"
"2022-05-10","0"
"2022-05-11","0"
"2022-05-12","0"
"2022-05-13","0"
"2022-05-14","0"
"2022-05-15","0"
"2022-05-16","0"
"2022-05-17","0"
"2022-05-18","0"
"2022-05-19","0"
"2022-05-20","0"
"2022-05-21","0"
"2022-05-22","0"
"2022-05-23","0"
"2022-05-24","0"
"2022-05-25","0"
"2022-05-26","0"
"2022-05-27","0"
"2022-05-28","0"
"2022-05-29","0"
"2022-05-30","0"
"2022-05-31","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2022-05-01","2,037","3,488","2.53","8","747","153","0","0","546"
"2022-05-02","2,656","9,040","6.67","20","648","212","45","25","1,267"
"2022-05-03","2,597","9,215","6.8","9","727","182","63","19","1,211"
"2022-05-04","2,304","6,897","5.09","4","1,248","179","9","4","764"
"2022-05-05","2,169","4,332","3.19","4","1,261","169","5","5","672"
"2022-05-06","2,328","5,374","3.96","4","723","272","0","0","916"
"2022-05-07","2,466","8,510","6.26","6","700","208","11","24","1,043"
"2022-05-08","2,682","10,778","7.94","8","717","256","11","42","1,325"
"2022-05-09","2,695","10,233","7.54","21","1,139","269","17","15","1,313"
"2022-05-10","2,476","6,292","4.64","1","753","268","9","2","1,077"
"2022-05-11","2,892","10,457","7.66","12","672","318","41","9","1,600"
"2022-05-12","2,371","6,025","4.43","9","1,222","191","24","3","923"
"2022-05-13","2,117","3,578","2.64","3","1,284","156","0","0","612"
"2022-05-14","1,627","77","0.06","0","1,440","0","0","0","0"
"2022-05-15","1,620","0","0","0","1,440","0","0","0","0"
"2022-05-16","1,812","2,960","2.18","1","1,398","11","23","8","232"
"2022-05-17","3,087","11,463","8.45","6","1,017","358","40","25","1,829"
"2022-05-18","3,012","12,857","9.48","4","499","370","49","22","1,806"
"2022-05-19","1,710","630","0.46","0","1,415","11","14","0","116"
"2022-05-20","1,950","4,083","3.01","1","1,377","21","3","39","397"
"2022-05-21","3,058","11,410","8.41","8","820","313","50","39","1,779"
"2022-05-22","2,629","10,589","7.81","13","1,186","184","22","48","1,237"
"2022-05-23","3,072","12,690","9.36","9","1,044","333","32","31","1,812"
"2022-05-24","2,845","11,788","8.65","13","1,120","266","7","47","1,414"
"2022-05-25","3,037","10,249","7.56","4","990","257","80","22","1,718"
"2022-05-26","3,685","21,596","15.93","11","1,013","162","105","160","2,484"
"2022-05-27","3,060","14,670","10.82","26","535","198","51","87","1,682"
"2022-05-28","2,811","9,651","7.03","8","848","281","29","30","1,407"
"2022-05-29","4,108","22,120","16.32","27","560","354","71","142","2,974"
"2022-05-30","2,962","13,486","9.81","23","1,085","244","62","49","1,621"
"2022-05-31","3,334","18,602","13.72","21","684","232","39","118","2,042"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-05-30 11:53PM","2022-05-31 6:00AM","328","39","32","367","30","233","65"
"2022-05-28 11:57PM","2022-05-29 5:11AM","281","32","17","313","64","144","73"
"2022-05-28 12:54AM","2022-05-28 5:06AM","212","40","8","252","7","155","50"
"2022-05-26 6:06PM","2022-05-27 3:35AM","500","69","39","569","46","363","91"
"2022-05-25 7:27PM","2022-05-25 8:59PM","77","14","1","91","N/A","N/A","N/A"
"2022-05-21 6:35AM","2022-05-21 10:13AM","181","37","14","218","15","152","14"
"2022-05-18 3:31AM","2022-05-18 11:51AM","394","106","30","500","28","307","59"
"2022-05-11 12:18AM","2022-05-11 6:58AM","344","56","28","400","74","208","62"
"2022-05-10 12:57AM","2022-05-10 7:45AM","361","47","28","408","78","214","69"
"2022-05-08 3:33AM","2022-05-08 10:27AM","347","67","29","414","64","221","62"
"2022-05-07 1:12AM","2022-05-07 9:29AM","426","71","34","497","105","252","69"
"2022-05-06 12:39AM","2022-05-06 8:04AM","363","82","27","445","56","231","76"
"2022-05-02 11:17PM","2022-05-03 6:47AM","383","66","29","449","69","249","65"
"2022-05-02 1:32AM","2022-05-02 10:02AM","438","72","35","510","67","304","67"
"2022-05-01 1:27AM","2022-05-01 10:27AM","466","74","37","540","115","280","71"

Food Log 20220501
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20220502
Daily Totals
"","Calories","0"
"","Fat","0 g"
